🚀 正在初始化系统...
🔍 正在加载 Contriever 检索器...
📚 正在加载文档库...
📂 正在加载文件: /home/featurize/work/embeddings_1m/passages_00
📚 文档库加载完成，共 1000000 篇文档。
✅ 系统初始化完成
📂 正在加载数据集: professional_law 从 /home/featurize/work/mmlu_subset/professional_law.csv
✅ professional_law 加载完成，共 400 道题目
📂 正在加载数据集: moral_scenarios 从 /home/featurize/work/mmlu_subset/moral_scenarios.csv
✅ moral_scenarios 加载完成，共 400 道题目
📂 正在加载数据集: psychology 从 /home/featurize/work/mmlu_subset/psychology.csv
✅ psychology 加载完成，共 400 道题目
📂 正在加载数据集: mathematics 从 /home/featurize/work/mmlu_subset/mathematics.csv
✅ mathematics 加载完成，共 400 道题目

==================== 正在评测数据集: professional_law ====================
✅ 选取了 400 道题目 (数据集共 400 道)
题号: professional_law_0, 正确: True, 检索: 3.6497s, Rerank: 0.1972s, 生成: 2.6721s, 首字: 6.5895s, Rerank占比(总): 2.99%, Rerank占比(检): 5.13%
题号: moral_scenarios_329, 正确: False, 检索: 4.7461s, Rerank: 0.0875s, 生成: 2.5197s, 首字: 7.4246s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_330, 正确: False, 检索: 4.7378s, Rerank: 0.0867s, 生成: 2.5122s, 首字: 7.4086s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_331, 正确: False, 检索: 4.7084s, Rerank: 0.0868s, 生成: 2.5160s, 首字: 7.3814s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_332, 正确: False, 检索: 4.7130s, Rerank: 0.0882s, 生成: 2.5094s, 首字: 7.3815s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: moral_scenarios_333, 正确: False, 检索: 4.7077s, Rerank: 0.0866s, 生成: 2.5071s, 首字: 7.3729s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: moral_scenarios_334, 正确: True, 检索: 4.7214s, Rerank: 0.0869s, 生成: 2.5103s, 首字: 7.3898s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_335, 正确: False, 检索: 4.7384s, Rerank: 0.0880s, 生成: 2.5132s, 首字: 7.4108s, Rerank占比(总): 1.19%, Rerank占比(检): 1.82%
题号: moral_scenarios_336, 正确: False, 检索: 4.7148s, Rerank: 0.0892s, 生成: 2.5154s, 首字: 7.3918s, Rerank占比(总): 1.21%, Rerank占比(检): 1.86%
题号: moral_scenarios_337, 正确: False, 检索: 4.7311s, Rerank: 0.0873s, 生成: 2.5139s, 首字: 7.4044s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_338, 正确: True, 检索: 4.7188s, Rerank: 0.0866s, 生成: 2.5161s, 首字: 7.3927s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_339, 正确: False, 检索: 4.7176s, Rerank: 0.0872s, 生成: 2.5113s, 首字: 7.3861s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: moral_scenarios_340, 正确: False, 检索: 4.7307s, Rerank: 0.0868s, 生成: 2.5119s, 首字: 7.4010s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_341, 正确: False, 检索: 4.7442s, Rerank: 0.0864s, 生成: 2.5181s, 首字: 7.4198s, Rerank占比(总): 1.16%, Rerank占比(检): 1.79%
题号: moral_scenarios_342, 正确: False, 检索: 4.6962s, Rerank: 0.0876s, 生成: 2.5133s, 首字: 7.3675s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: moral_scenarios_343, 正确: False, 检索: 4.6751s, Rerank: 0.0875s, 生成: 2.5120s, 首字: 7.3451s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: moral_scenarios_344, 正确: False, 检索: 4.6994s, Rerank: 0.0879s, 生成: 2.5107s, 首字: 7.3699s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: moral_scenarios_345, 正确: True, 检索: 4.7467s, Rerank: 0.0876s, 生成: 2.5113s, 首字: 7.4174s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_346, 正确: False, 检索: 4.6751s, Rerank: 0.0879s, 生成: 2.4725s, 首字: 7.3060s, Rerank占比(总): 1.20%, Rerank占比(检): 1.85%
题号: moral_scenarios_347, 正确: False, 检索: 3.7447s, Rerank: 0.0877s, 生成: 2.5325s, 首字: 6.4361s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: moral_scenarios_348, 正确: False, 检索: 4.7290s, Rerank: 0.0896s, 生成: 2.5620s, 首字: 7.4551s, Rerank占比(总): 1.20%, Rerank占比(检): 1.86%
题号: moral_scenarios_349, 正确: False, 检索: 4.2445s, Rerank: 0.0844s, 生成: 2.4791s, 首字: 6.8772s, Rerank占比(总): 1.23%, Rerank占比(检): 1.95%
题号: moral_scenarios_350, 正确: True, 检索: 3.7199s, Rerank: 0.0844s, 生成: 2.4816s, 首字: 6.3561s, Rerank占比(总): 1.33%, Rerank占比(检): 2.22%
题号: moral_scenarios_351, 正确: False, 检索: 3.6799s, Rerank: 0.0840s, 生成: 2.4929s, 首字: 6.3257s, Rerank占比(总): 1.33%, Rerank占比(检): 2.23%
题号: moral_scenarios_352, 正确: False, 检索: 3.6310s, Rerank: 0.0834s, 生成: 2.4302s, 首字: 6.2134s, Rerank占比(总): 1.34%, Rerank占比(检): 2.24%
题号: moral_scenarios_353, 正确: False, 检索: 3.6288s, Rerank: 0.0838s, 生成: 2.4274s, 首字: 6.2097s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_354, 正确: False, 检索: 3.6186s, Rerank: 0.0835s, 生成: 2.4263s, 首字: 6.1981s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: moral_scenarios_355, 正确: False, 检索: 3.6186s, Rerank: 0.0838s, 生成: 2.4264s, 首字: 6.1974s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_356, 正确: False, 检索: 3.5978s, Rerank: 0.0837s, 生成: 2.4252s, 首字: 6.1770s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: moral_scenarios_357, 正确: False, 检索: 3.6253s, Rerank: 0.0837s, 生成: 2.4254s, 首字: 6.2027s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_358, 正确: False, 检索: 3.6195s, Rerank: 0.0839s, 生成: 2.4273s, 首字: 6.2008s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: moral_scenarios_359, 正确: False, 检索: 3.6293s, Rerank: 0.0842s, 生成: 2.4260s, 首字: 6.2086s, Rerank占比(总): 1.36%, Rerank占比(检): 2.27%
题号: moral_scenarios_360, 正确: True, 检索: 3.6193s, Rerank: 0.0836s, 生成: 2.4310s, 首字: 6.2022s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_361, 正确: True, 检索: 3.6380s, Rerank: 0.0842s, 生成: 2.4265s, 首字: 6.2185s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_362, 正确: True, 检索: 3.6171s, Rerank: 0.0836s, 生成: 2.4253s, 首字: 6.1944s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: moral_scenarios_363, 正确: False, 检索: 4.1808s, Rerank: 0.0860s, 生成: 2.5048s, 首字: 6.8423s, Rerank占比(总): 1.26%, Rerank占比(检): 2.02%
题号: moral_scenarios_364, 正确: False, 检索: 4.6459s, Rerank: 0.0858s, 生成: 2.5036s, 首字: 7.3074s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: moral_scenarios_365, 正确: False, 检索: 4.6908s, Rerank: 0.0867s, 生成: 2.5030s, 首字: 7.3527s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_366, 正确: False, 检索: 4.6822s, Rerank: 0.0862s, 生成: 2.5123s, 首字: 7.3514s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: moral_scenarios_367, 正确: True, 检索: 4.6656s, Rerank: 0.0859s, 生成: 2.5117s, 首字: 7.3344s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: moral_scenarios_368, 正确: False, 检索: 4.6794s, Rerank: 0.0859s, 生成: 2.5062s, 首字: 7.3438s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_369, 正确: False, 检索: 4.6965s, Rerank: 0.0860s, 生成: 2.5058s, 首字: 7.3624s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_370, 正确: False, 检索: 4.7145s, Rerank: 0.0862s, 生成: 2.5091s, 首字: 7.3810s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_371, 正确: False, 检索: 4.6637s, Rerank: 0.0885s, 生成: 2.5074s, 首字: 7.3313s, Rerank占比(总): 1.21%, Rerank占比(检): 1.86%
题号: moral_scenarios_372, 正确: False, 检索: 4.6980s, Rerank: 0.0868s, 生成: 2.5045s, 首字: 7.3601s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: moral_scenarios_373, 正确: False, 检索: 4.6835s, Rerank: 0.0864s, 生成: 2.5074s, 首字: 7.3494s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_374, 正确: False, 检索: 4.6810s, Rerank: 0.0861s, 生成: 2.5079s, 首字: 7.3467s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: moral_scenarios_375, 正确: False, 检索: 4.7347s, Rerank: 0.0868s, 生成: 2.5106s, 首字: 7.4048s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_376, 正确: False, 检索: 4.6890s, Rerank: 0.0866s, 生成: 2.5112s, 首字: 7.3590s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_377, 正确: False, 检索: 4.7124s, Rerank: 0.0870s, 生成: 2.5071s, 首字: 7.3771s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_378, 正确: False, 检索: 4.7333s, Rerank: 0.0879s, 生成: 2.5517s, 首字: 7.4455s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: moral_scenarios_379, 正确: True, 检索: 4.7606s, Rerank: 0.0872s, 生成: 2.5098s, 首字: 7.4290s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_380, 正确: False, 检索: 4.6501s, Rerank: 0.0873s, 生成: 2.5133s, 首字: 7.3217s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: moral_scenarios_381, 正确: False, 检索: 4.7537s, Rerank: 0.0871s, 生成: 2.5123s, 首字: 7.4233s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_382, 正确: True, 检索: 4.6406s, Rerank: 0.0867s, 生成: 2.5594s, 首字: 7.3575s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: moral_scenarios_383, 正确: False, 检索: 4.7080s, Rerank: 0.1005s, 生成: 2.5091s, 首字: 7.3990s, Rerank占比(总): 1.36%, Rerank占比(检): 2.09%
题号: moral_scenarios_384, 正确: False, 检索: 3.7217s, Rerank: 0.0854s, 生成: 2.4370s, 首字: 6.3150s, Rerank占比(总): 1.35%, Rerank占比(检): 2.24%
题号: moral_scenarios_385, 正确: False, 检索: 3.6759s, Rerank: 0.0873s, 生成: 2.5752s, 首字: 6.4091s, Rerank占比(总): 1.36%, Rerank占比(检): 2.32%
题号: moral_scenarios_386, 正确: False, 检索: 3.6828s, Rerank: 0.0835s, 生成: 2.6598s, 首字: 6.4953s, Rerank占比(总): 1.29%, Rerank占比(检): 2.22%
题号: moral_scenarios_387, 正确: False, 检索: 3.6887s, Rerank: 0.0841s, 生成: 2.4953s, 首字: 6.3375s, Rerank占比(总): 1.33%, Rerank占比(检): 2.23%
题号: moral_scenarios_388, 正确: False, 检索: 3.6845s, Rerank: 0.0872s, 生成: 2.5113s, 首字: 6.3538s, Rerank占比(总): 1.37%, Rerank占比(检): 2.31%
题号: moral_scenarios_389, 正确: False, 检索: 3.6801s, Rerank: 0.0841s, 生成: 2.4253s, 首字: 6.2744s, Rerank占比(总): 1.34%, Rerank占比(检): 2.23%
题号: moral_scenarios_390, 正确: False, 检索: 3.7161s, Rerank: 0.0851s, 生成: 2.4679s, 首字: 6.3392s, Rerank占比(总): 1.34%, Rerank占比(检): 2.24%
题号: moral_scenarios_391, 正确: False, 检索: 3.7149s, Rerank: 0.0887s, 生成: 2.5046s, 首字: 6.3782s, Rerank占比(总): 1.39%, Rerank占比(检): 2.33%
题号: moral_scenarios_392, 正确: False, 检索: 3.6299s, Rerank: 0.0848s, 生成: 2.4344s, 首字: 6.2176s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: moral_scenarios_393, 正确: False, 检索: 4.2983s, Rerank: 0.0860s, 生成: 2.5120s, 首字: 6.9672s, Rerank占比(总): 1.23%, Rerank占比(检): 1.96%
题号: moral_scenarios_394, 正确: False, 检索: 4.6818s, Rerank: 0.0862s, 生成: 2.5114s, 首字: 7.3511s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: moral_scenarios_395, 正确: False, 检索: 4.6973s, Rerank: 0.0867s, 生成: 2.5095s, 首字: 7.3648s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: moral_scenarios_396, 正确: False, 检索: 4.7056s, Rerank: 0.0864s, 生成: 2.5129s, 首字: 7.3760s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: moral_scenarios_397, 正确: False, 检索: 4.6021s, Rerank: 0.0861s, 生成: 2.5055s, 首字: 7.2657s, Rerank占比(总): 1.18%, Rerank占比(检): 1.84%
题号: moral_scenarios_398, 正确: False, 检索: 4.6537s, Rerank: 0.0877s, 生成: 2.5015s, 首字: 7.3139s, Rerank占比(总): 1.20%, Rerank占比(检): 1.85%
题号: moral_scenarios_399, 正确: True, 检索: 4.6464s, Rerank: 0.0864s, 生成: 2.5061s, 首字: 7.3099s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%

📊 数据集 moral_scenarios 评测完成，统计结果如下：
 🟢 总正确率: 0.2100 (84/400)
 ⏱️ 平均每题 Rerank 耗时: 0.0863 秒
 ⏱️ 平均每题 首字延迟: 6.9557 秒
 📊 平均 Rerank耗时/总耗时比值: 0.0125
 📊 平均 Rerank耗时/检索耗时比值: 0.0199
 📉 重排耗时方差 (Variance): 0.000008 (s²)
 📏 重排耗时标准差 (Std): 0.002810 (s)

==================== 正在评测数据集: psychology ====================
✅ 选取了 400 道题目 (数据集共 400 道)
题号: psychology_0, 正确: True, 检索: 4.6807s, Rerank: 0.0859s, 生成: 2.5075s, 首字: 7.3453s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: psychology_1, 正确: True, 检索: 4.6516s, Rerank: 0.0864s, 生成: 2.5054s, 首字: 7.3141s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_2, 正确: False, 检索: 4.6527s, Rerank: 0.0857s, 生成: 2.5129s, 首字: 7.3223s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_3, 正确: True, 检索: 4.5910s, Rerank: 0.0861s, 生成: 2.5113s, 首字: 7.2619s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: psychology_4, 正确: False, 检索: 4.6531s, Rerank: 0.0865s, 生成: 2.5072s, 首字: 7.3179s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_5, 正确: False, 检索: 4.6319s, Rerank: 0.0854s, 生成: 2.5085s, 首字: 7.2986s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_6, 正确: True, 检索: 4.6085s, Rerank: 0.0857s, 生成: 2.5048s, 首字: 7.2700s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: psychology_7, 正确: False, 检索: 4.6608s, Rerank: 0.0858s, 生成: 2.5024s, 首字: 7.3207s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_8, 正确: False, 检索: 4.6417s, Rerank: 0.0856s, 生成: 2.5069s, 首字: 7.3048s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_9, 正确: False, 检索: 4.6774s, Rerank: 0.0862s, 生成: 2.5088s, 首字: 7.3444s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_10, 正确: False, 检索: 4.6689s, Rerank: 0.0861s, 生成: 2.5145s, 首字: 7.3405s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_11, 正确: False, 检索: 4.7011s, Rerank: 0.0860s, 生成: 2.5385s, 首字: 7.3979s, Rerank占比(总): 1.16%, Rerank占比(检): 1.80%
题号: psychology_12, 正确: False, 检索: 4.7427s, Rerank: 0.0882s, 生成: 2.5388s, 首字: 7.4444s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: psychology_13, 正确: False, 检索: 4.7533s, Rerank: 0.0876s, 生成: 2.5387s, 首字: 7.4516s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: psychology_14, 正确: True, 检索: 4.7193s, Rerank: 0.0862s, 生成: 2.5148s, 首字: 7.3928s, Rerank占比(总): 1.17%, Rerank占比(检): 1.79%
题号: psychology_15, 正确: False, 检索: 4.6810s, Rerank: 0.0866s, 生成: 2.5201s, 首字: 7.3586s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_16, 正确: False, 检索: 4.6774s, Rerank: 0.0865s, 生成: 2.5056s, 首字: 7.3439s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_17, 正确: False, 检索: 4.6892s, Rerank: 0.0866s, 生成: 2.5096s, 首字: 7.3564s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: psychology_18, 正确: False, 检索: 4.6737s, Rerank: 0.0867s, 生成: 2.5095s, 首字: 7.3438s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_19, 正确: False, 检索: 4.6669s, Rerank: 0.0866s, 生成: 2.5128s, 首字: 7.3403s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_20, 正确: False, 检索: 4.6644s, Rerank: 0.0867s, 生成: 2.5118s, 首字: 7.3356s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: psychology_21, 正确: False, 检索: 4.6548s, Rerank: 0.0869s, 生成: 2.5098s, 首字: 7.3233s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: psychology_22, 正确: False, 检索: 4.6914s, Rerank: 0.0879s, 生成: 2.5452s, 首字: 7.3998s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: psychology_23, 正确: False, 检索: 4.6981s, Rerank: 0.0875s, 生成: 2.5483s, 首字: 7.4052s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: psychology_24, 正确: False, 检索: 4.7387s, Rerank: 0.0885s, 生成: 2.5551s, 首字: 7.4591s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: psychology_25, 正确: False, 检索: 4.7740s, Rerank: 0.0870s, 生成: 2.5471s, 首字: 7.4803s, Rerank占比(总): 1.16%, Rerank占比(检): 1.79%
题号: psychology_26, 正确: False, 检索: 4.7293s, Rerank: 0.0877s, 生成: 2.5603s, 首字: 7.4504s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_27, 正确: True, 检索: 4.7579s, Rerank: 0.0875s, 生成: 2.5516s, 首字: 7.4695s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_28, 正确: False, 检索: 4.7210s, Rerank: 0.0879s, 生成: 2.5450s, 首字: 7.4253s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: psychology_29, 正确: True, 检索: 4.7314s, Rerank: 0.0872s, 生成: 2.5880s, 首字: 7.4782s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_30, 正确: True, 检索: 4.7180s, Rerank: 0.0877s, 生成: 2.4657s, 首字: 7.3434s, Rerank占比(总): 1.19%, Rerank占比(检): 1.82%
题号: psychology_31, 正确: False, 检索: 3.6255s, Rerank: 0.0838s, 生成: 2.4229s, 首字: 6.2021s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_32, 正确: False, 检索: 3.6197s, Rerank: 0.0834s, 生成: 2.4251s, 首字: 6.1979s, Rerank占比(总): 1.35%, Rerank占比(检): 2.25%
题号: psychology_33, 正确: True, 检索: 3.6206s, Rerank: 0.0836s, 生成: 2.4273s, 首字: 6.2008s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_34, 正确: False, 检索: 3.6173s, Rerank: 0.0844s, 生成: 2.4294s, 首字: 6.2036s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: psychology_35, 正确: False, 检索: 3.6141s, Rerank: 0.0842s, 生成: 2.4255s, 首字: 6.1971s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: psychology_36, 正确: False, 检索: 3.6028s, Rerank: 0.0837s, 生成: 2.4246s, 首字: 6.1813s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: psychology_37, 正确: False, 检索: 3.6048s, Rerank: 0.0835s, 生成: 2.4205s, 首字: 6.1779s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_38, 正确: False, 检索: 3.6059s, Rerank: 0.0835s, 生成: 2.4196s, 首字: 6.1781s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_39, 正确: False, 检索: 3.5941s, Rerank: 0.0842s, 生成: 2.4199s, 首字: 6.1678s, Rerank占比(总): 1.36%, Rerank占比(检): 2.29%
题号: psychology_40, 正确: True, 检索: 3.5752s, Rerank: 0.0841s, 生成: 2.5031s, 首字: 6.2336s, Rerank占比(总): 1.35%, Rerank占比(检): 2.30%
题号: psychology_41, 正确: False, 检索: 4.6968s, Rerank: 0.0880s, 生成: 2.5261s, 首字: 7.3850s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: psychology_42, 正确: False, 检索: 4.6917s, Rerank: 0.0858s, 生成: 2.5209s, 首字: 7.3706s, Rerank占比(总): 1.16%, Rerank占比(检): 1.80%
题号: psychology_43, 正确: False, 检索: 4.7142s, Rerank: 0.0859s, 生成: 2.5168s, 首字: 7.3879s, Rerank占比(总): 1.16%, Rerank占比(检): 1.79%
题号: psychology_44, 正确: False, 检索: 4.6856s, Rerank: 0.0865s, 生成: 2.5095s, 首字: 7.3543s, Rerank占比(总): 1.18%, Rerank占比(检): 1.81%
题号: psychology_45, 正确: False, 检索: 4.6590s, Rerank: 0.0868s, 生成: 2.5122s, 首字: 7.3301s, Rerank占比(总): 1.18%, Rerank占比(检): 1.83%
题号: psychology_46, 正确: True, 检索: 4.6729s, Rerank: 0.0876s, 生成: 2.5070s, 首字: 7.3401s, Rerank占比(总): 1.19%, Rerank占比(检): 1.84%
题号: psychology_47, 正确: True, 检索: 4.6987s, Rerank: 0.0866s, 生成: 2.5503s, 首字: 7.4092s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_48, 正确: True, 检索: 4.6505s, Rerank: 0.0862s, 生成: 2.5210s, 首字: 7.3320s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_49, 正确: False, 检索: 4.4719s, Rerank: 0.0841s, 生成: 2.4339s, 首字: 7.0585s, Rerank占比(总): 1.19%, Rerank占比(检): 1.85%
题号: psychology_50, 正确: False, 检索: 3.5824s, Rerank: 0.0843s, 生成: 2.4284s, 首字: 6.1648s, Rerank占比(总): 1.37%, Rerank占比(检): 2.30%
题号: psychology_51, 正确: False, 检索: 3.6009s, Rerank: 0.0836s, 生成: 2.4332s, 首字: 6.1882s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: psychology_52, 正确: False, 检索: 3.5911s, Rerank: 0.0838s, 生成: 2.4258s, 首字: 6.1698s, Rerank占比(总): 1.36%, Rerank占比(检): 2.28%
题号: psychology_53, 正确: False, 检索: 3.5990s, Rerank: 0.0833s, 生成: 2.4282s, 首字: 6.1809s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_54, 正确: False, 检索: 3.5920s, Rerank: 0.0836s, 生成: 2.4366s, 首字: 6.1816s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: psychology_55, 正确: False, 检索: 3.5944s, Rerank: 0.0831s, 生成: 2.4212s, 首字: 6.1686s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_56, 正确: True, 检索: 3.5814s, Rerank: 0.0859s, 生成: 2.4216s, 首字: 6.1588s, Rerank占比(总): 1.40%, Rerank占比(检): 2.34%
题号: psychology_57, 正确: False, 检索: 3.5912s, Rerank: 0.0832s, 生成: 2.4168s, 首字: 6.1612s, Rerank占比(总): 1.35%, Rerank占比(检): 2.26%
题号: psychology_58, 正确: True, 检索: 3.5935s, Rerank: 0.0833s, 生成: 2.4178s, 首字: 6.1651s, Rerank占比(总): 1.35%, Rerank占比(检): 2.27%
题号: psychology_59, 正确: False, 检索: 4.5266s, Rerank: 0.0865s, 生成: 2.5115s, 首字: 7.1952s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: psychology_60, 正确: False, 检索: 4.6789s, Rerank: 0.0868s, 生成: 2.5090s, 首字: 7.3509s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_61, 正确: True, 检索: 4.6744s, Rerank: 0.0860s, 生成: 2.5320s, 首字: 7.3620s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_62, 正确: False, 检索: 4.6759s, Rerank: 0.0888s, 生成: 2.6048s, 首字: 7.4432s, Rerank占比(总): 1.19%, Rerank占比(检): 1.86%
题号: psychology_63, 正确: False, 检索: 4.7000s, Rerank: 0.0894s, 生成: 2.6089s, 首字: 7.4719s, Rerank占比(总): 1.20%, Rerank占比(检): 1.87%
题号: psychology_64, 正确: False, 检索: 4.7115s, Rerank: 0.0865s, 生成: 2.5149s, 首字: 7.3853s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: psychology_65, 正确: True, 检索: 4.6910s, Rerank: 0.0864s, 生成: 2.5291s, 首字: 7.3864s, Rerank占比(总): 1.17%, Rerank占比(检): 1.81%
题号: psychology_66, 正确: False, 检索: 4.6853s, Rerank: 0.0870s, 生成: 2.5252s, 首字: 7.3701s, Rerank占比(总): 1.18%, Rerank占比(检): 1.82%
题号: psychology_67, 正确: True, 检索: 4.6831s, Rerank: 0.0861s, 生成: 2.5204s, 首字: 7.3603s, Rerank占比(总): 1.17%, Rerank占比(检): 1.80%
题号: psychology_68, 正确: False, 检索: 4.6731s, Rerank: 0.0872s, 生成: 2.5073s, 首字: 7.3399s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: psychology_69, 正确: True, 检索: 4.7058s, Rerank: 0.0905s, 生成: 2.6194s, 首字: 7.4884s, Rerank占比(总): 1.21%, Rerank占比(检): 1.89%
题号: psychology_70, 正确: False, 检索: 4.6438s, Rerank: 0.0868s, 生成: 2.5226s, 首字: 7.3243s, Rerank占比(总): 1.19%, Rerank占比(检): 1.83%
题号: psychology_71, 正确: False, 检索: 4.7117s, Rerank: 0.0887s, 生成: 2.5264s, 首字: 7.3996s, Rerank占比(总): 1.20%, Rerank占比(检): 1.85%
